Date and Time,Temperature,ECG,GSR,HR,IR,RED
2024-07-10 09:43:17.872994+00:00,81.05,0.0518,0.0362,3.1300000000000003,105936.0,84266.0
2024-07-10 09:43:14.760721+00:00,80.87,0.0489,0.1505,71.85000000000001,105939.0,84279.0
2024-07-10 09:43:11.649140+00:00,80.98,0.044,0.0,71.46000000000001,105936.0,84295.0
2024-07-10 09:43:08.534553+00:00,80.91,0.042,0.0469,0.0,105984.0,84295.0
2024-07-10 09:43:05.411216+00:00,80.87,0.0108,0.1476,72.24000000000001,105954.0,84354.0
2024-07-10 09:43:02.298717+00:00,81.01,0.0352,0.002,34.599999999999994,105950.0,84307.0
2024-07-10 09:42:59.182887+00:00,81.12,0.0528,0.0489,0.0,105914.0,84268.0
2024-07-10 09:42:56.071673+00:00,81.12,0.0,0.1398,71.95,105904.0,84290.0
2024-07-10 09:42:52.960109+00:00,81.27,0.0499,0.0323,0.0,105916.0,84294.0
2024-07-10 09:42:49.844906+00:00,81.05,0.0469,0.1593,71.46000000000001,105896.0,84292.0
2024-07-10 09:42:46.731645+00:00,81.01,0.0469,0.0,71.85000000000001,105859.0,84282.0
2024-07-10 09:42:43.617719+00:00,81.12,0.0508,0.043,0.0,105873.0,84262.0
2024-07-10 09:42:40.506185+00:00,80.91,0.0,0.1261,71.46000000000001,105927.0,84303.0
2024-07-10 09:42:37.396907+00:00,81.27,0.0538,0.0342,0.0,105904.0,84349.0
2024-07-10 09:42:34.288468+00:00,81.01,0.0,0.1349,71.85000000000001,105916.0,84279.0
2024-07-10 09:42:31.177352+00:00,81.16,0.0528,0.043,0.0,105907.0,84304.0
2024-07-10 09:42:28.066405+00:00,81.37,0.0215,0.0,72.34,105881.0,84300.0
2024-07-10 09:42:24.950261+00:00,81.12,0.0117,0.1554,71.65,105898.0,84276.0
2024-07-10 09:42:21.839369+00:00,81.16,0.0528,0.0411,0.0,105905.0,84347.0
2024-07-10 09:42:18.726932+00:00,81.27,0.0381,0.0166,71.26,105883.0,84273.0
2024-07-10 09:42:15.612297+00:00,81.34,0.0186,0.0,72.14,105785.0,84218.0
2024-07-10 09:42:12.496004+00:00,81.37,0.0,0.1525,71.85000000000001,105745.0,84229.0
2024-07-10 09:42:09.382424+00:00,81.12,0.0332,0.1593,26.88,105756.0,84230.0
2024-07-10 09:42:06.272571+00:00,81.37,0.0401,0.0352,0.0,105719.0,84261.0
2024-07-10 09:42:03.161015+00:00,81.45,0.0538,0.0411,0.0,105710.0,84248.0
2024-07-10 09:42:00.048555+00:00,81.66,0.0528,0.0371,0.0,105734.0,84226.0
2024-07-10 09:41:56.936786+00:00,81.27,0.0499,0.0332,0.0,105711.0,84226.0
2024-07-10 09:41:53.824674+00:00,81.16,0.0,0.1554,42.230000000000004,105727.0,84243.0
2024-07-10 09:41:50.710711+00:00,81.55,0.0156,0.13,71.36,105700.0,84257.0
2024-07-10 09:41:47.597576+00:00,81.27,0.0342,0.0,72.14,105696.0,84251.0
2024-07-10 09:41:44.479859+00:00,81.16,0.0499,0.0313,71.65,105665.0,84219.0
2024-07-10 09:41:41.359441+00:00,81.23,0.0547,0.0371,0.0,105649.0,84224.0
2024-07-10 09:41:38.248022+00:00,81.48,0.0,0.1574,30.11,105690.0,84239.0
2024-07-10 09:41:35.134325+00:00,81.45,0.0391,0.0,71.75,105657.0,84252.0
2024-07-10 09:41:32.021143+00:00,81.12,0.0538,0.045,0.0,105632.0,84228.0
2024-07-10 09:41:28.899891+00:00,81.23,0.0235,0.1408,71.55,105649.0,84216.0
2024-07-10 09:41:25.790896+00:00,81.16,0.0557,0.0283,45.85,105644.0,84242.0
2024-07-10 09:41:22.678967+00:00,81.27,0.0313,0.1388,72.43,105634.0,84255.0
2024-07-10 09:41:19.568156+00:00,81.37,0.0518,0.0401,0.0,105620.0,84237.0
2024-07-10 09:41:16.456144+00:00,81.48,0.0225,0.0,71.85000000000001,105642.0,84255.0
2024-07-10 09:41:13.346282+00:00,81.48,0.0235,0.1574,0.0,105641.0,84239.0
2024-07-10 09:41:10.230279+00:00,81.37,0.045,0.0401,11.73,105596.0,84231.0
2024-07-10 09:41:07.113882+00:00,81.16,0.0371,0.0,71.75,105607.0,84261.0
